MQ_KURZNAME;DET_NAME_ALT;DET_NAME_NEU;DET_ID15;MQ_ID15;STRASSE;POSITION;POS_DETAIL;RICHTUNG;SPUR;annotation;LÄNGE (WGS84);BREITE (WGS84);INBETRIEBNAHME;ABBAUDATUM;DEINSTALLIERT;KOMMENTAR
TE471;TEU00471_Det2;TE471_Det_HF2;1.00101E+14;1.00201E+14;Karl-Liebknecht-Straße;zwischen Spandauer Straße und Bahnbrücke, in Höhe LM 25;Alexanderplatz;Nordost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.40657904;52.52069638;16.08.09;;;
TE472;TEU00471_Det0;TE472_Det_Bus;1.00101E+14;1.00201E+14;Karl-Liebknecht-Straße;zwischen Spandauer Straße und Bahnbrücke, in Höhe LM 25;Alexanderplatz;Nordost;BUS;Busspur;13.40657904;52.52069638;16.08.09;;;
TE475;TEU00475_Det0;TE475_Det_HF1;1.00101E+14;1.00201E+14;Blücherstraße;zwischen Mehringdamm und Zossener Straße;Zossener Straße;Ost;HF_R;Hauptfahrbahn rechte Spur;13.39198682;52.4958355;24.12.08;;;
TE475;TEU00475_Det1;TE475_Det_HF2;1.00101E+14;1.00201E+14;Blücherstraße;zwischen Mehringdamm und Zossener Straße;Zossener Straße;Ost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.39198682;52.4958355;24.12.08;;;
TE476;TEU00476_Det0;TE476_Det_HF1;1.00101E+14;1.00201E+14;Blücherstraße;zwischen Zossener Straße und Mehringdamm;Mehringdamm;West;HF;nicht bekannt;13.3925616;52.49628942;23.12.08;;;
TE476;TEU00476_Det1;TE476_Det_HF2;1.00101E+14;1.00201E+14;Blücherstraße;zwischen Zossener Straße und Mehringdamm;Mehringdamm;West;HF_2vR;nicht bekannt;13.3925616;52.49628942;23.12.08;;;
TE477;TEU00477_Det1;TE477_Det_HF1;1.00101E+14;1.00201E+14;Gitschiner Straße;zwischen Lindenstraße und Wilhelmstraße;Wilhelmstraße;West;HF;Hauptfahrbahn rechte Spur;13.39249012;52.49809455;09.12.08;;;
TE477;TEU00477_Det2;TE477_Det_HF2;1.00101E+14;1.00201E+14;Gitschiner Straße;zwischen Lindenstraße und Wilhelmstraße;Wilhelmstraße;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.39249012;52.49809455;09.12.08;;;
TE478;TEU00478_Det0;TE478_Det_HF1;1.00101E+14;1.00201E+14;Waterloo-Ufer;zwischen Blücherplatz und Zossener Straße;Zossener Straße;Ost;HF;Hauptfahrbahn rechte Spur;13.39348294;52.49739201;23.12.08;;X;Radspur
TE478;TEU00478_Det1;TE478_Det_HF2;1.00101E+14;1.00201E+14;Waterloo-Ufer;zwischen Blücherplatz und Zossener Straße;Zossener Straße;Ost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.39348294;52.49739201;23.12.08;;;
TE478;TEU00478_Det2;TE478_Det_HF3;1.00101E+14;1.00201E+14;Waterloo-Ufer;zwischen Blücherplatz und Zossener Straße;Zossener Straße;Ost;HF_3vR;Hauptfahrbahn, 3. Spur von rechts;13.39348294;52.49739201;23.12.08;;;
